11972, 184793, -10000, 100000
13620, 559657, -10000, 100000
12077, 191124, -10000, 100000
13670, 562071, -10000, 100000
12077, 192448, -10000, 100000
13670, 562626, -10000, 100000
12077, 193914, -10000, 100000
13670, 563236, -10000, 100000
12077, 192473, -10000, 100000
13670, 562666, -10000, 100000
12077, 191129, -10000, 100000
13670, 562076, -10000, 100000
12177, 194128, -10000, 100000
13870, 565077, -10000, 100000
12372, 219305, -10000, 100000
13870, 575646, -10000, 100000
12372, 222497, -10000, 100000
13870, 576343, -10000, 100000
12272, 215381, -10000, 100000
13870, 572451, -10000, 100000
12527, 226065, -10000, 100000
13920, 579120, -10000, 100000
12577, 223002, -10000, 100000
13520, 578054, -10000, 100000
12672, 230173, -10000, 100000
13520, 581777, -10000, 100000
12672, 227185, -10000, 100000
13520, 580567, -10000, 100000
12672, 229453, -10000, 100000
13520, 581396, -10000, 100000
12722, 232626, -10000, 100000
13520, 583082, -10000, 100000
12722, 232626, -10000, 100000
13520, 583082, -10000, 100000
12722, 232616, -10000, 100000
13520, 583072, -10000, 100000
12627, 225483, -10000, 100000
13520, 579374, -10000, 100000
12627, 225346, -10000, 100000
13520, 579483, -10000, 100000
12527, 221601, -10000, 100000
13520, 576516, -10000, 100000
12527, 221657, -10000, 100000
13520, 576539, -10000, 100000
12472, 220066, -10000, 100000
13520, 575383, -10000, 100000
12472, 220111, -10000, 100000
13520, 575428, -10000, 100000
12472, 220111, -10000, 100000
13520, 575428, -10000, 100000
12372, 214128, -10000, 100000
13470, 573369, -10000, 100000
12372, 212403, -10000, 100000
13470, 573514, -10000, 100000
12527, 220491, -10000, 100000
13520, 577487, -10000, 100000
12527, 219467, -10000, 100000
13520, 576947, -10000, 100000
12527, 219474, -10000, 100000
13520, 576965, -10000, 100000
12527, 221637, -10000, 100000
13520, 577845, -10000, 100000
12522, 225569, -10000, 100000
13520, 579875, -10000, 100000
12522, 225574, -10000, 100000
13520, 579880, -10000, 100000
30008, 2301, -99, 30007
12522, 228459, -10000, 100000
13520, 580412, -10000, 100000
30008, 2307, -99, 30007
12622, 237830, -10000, 100000
13520, 585897, -10000, 100000
30008, 2645, -99, 30007
12622, 241071, -10000, 100000
13520, 587081, -10000, 100000
30008, 2652, -99, 30007
12622, 241076, -10000, 100000
13520, 587061, -10000, 100000
30008, 2666, -99, 30007
12372, 222632, -10000, 100000
13470, 573510, -10000, 100000
30008, 1930, -99, 30007
12372, 220922, -10000, 100000
13470, 573610, -10000, 100000
30642, 156551, -1000, 30641
30642, 156551, -1000, 30641
12272, 210925, -10000, 100000
13470, 573610, -10000, 100000
30642, 156551, -1000, 30641
